timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
2024/08/08 18:42:13,144,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,true,,1466,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:13,283,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:13,199,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-8,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,119,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:13,373,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,126,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,true,,1467,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,250,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,205,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-9,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,377,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,129,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,127,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,true,,1468,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,272,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,true,,2803,3,3,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,226,HomePage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-10,true,,6133,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:14,392,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,true,,3726,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:15,138,ClickSignUpNow,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,true,,2669,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:15,147,FillDetailsClickContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,true,,1467,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:15,286,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,true,,2803,2,2,0,1,0,CIN_Varaprasad
2024/08/08 18:42:15,393,ClickOnContinue,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,true,,3726,1,1,0,1,0,CIN_Varaprasad
2024/08/08 18:42:15,244,SignOff,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,true,,2803,1,1,0,1,0,CIN_Varaprasad
