timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707294403640,282,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,6112,2244,1,1,null,0,3,1
1707294403641,4,-8 /WebTours/,200,OK,Thread Group 1-1,text,true,,664,381,1,1,http://192.168.2.109:1080/WebTours/,4,0,1
1707294403646,2,-10 /WebTours/header.html,200,OK,Thread Group 1-1,text,true,,1007,438,1,1,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1707294403649,121,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-1,text,true,,1025,449,1,1,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,118,0,0
1707294403770,62,-17 /WebTours/home.html,200,OK,Thread Group 1-1,text,true,,1659,486,1,1,http://192.168.2.109:1080/WebTours/home.html,62,0,0
1707294403832,93,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-1,text,true,,1757,490,1,1,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,90,0,0
1707294404143,272,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,6110,2244,2,2,null,0,4,1
1707294404144,6,-8 /WebTours/,200,OK,Thread Group 1-2,text,true,,664,381,2,2,http://192.168.2.109:1080/WebTours/,6,0,1
1707294404150,3,-10 /WebTours/header.html,200,OK,Thread Group 1-2,text,true,,1007,438,2,2,http://192.168.2.109:1080/WebTours/header.html,3,0,0
1707294404154,103,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-2,text,true,,1025,449,2,2,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,101,0,0
1707294404258,60,-17 /WebTours/home.html,200,OK,Thread Group 1-2,text,true,,1659,486,2,2,http://192.168.2.109:1080/WebTours/home.html,60,0,0
1707294404318,100,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-2,text,true,,1755,490,2,2,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,98,0,0
1707294404638,286,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-3,,true,,6110,2244,3,3,null,0,2,1
1707294404639,4,-8 /WebTours/,200,OK,Thread Group 1-3,text,true,,664,381,3,3,http://192.168.2.109:1080/WebTours/,4,0,1
1707294404643,2,-10 /WebTours/header.html,200,OK,Thread Group 1-3,text,true,,1007,438,3,3,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1707294404645,98,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-3,text,true,,1025,449,3,3,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,96,0,0
1707294404744,63,-17 /WebTours/home.html,200,OK,Thread Group 1-3,text,true,,1659,486,3,3,http://192.168.2.109:1080/WebTours/home.html,63,0,0
1707294404807,119,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-3,text,true,,1755,490,3,3,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,117,0,0
1707294405137,296,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-4,,true,,6108,2244,4,4,null,0,3,0
1707294405138,3,-8 /WebTours/,200,OK,Thread Group 1-4,text,true,,664,381,4,4,http://192.168.2.109:1080/WebTours/,3,0,0
1707294405141,2,-10 /WebTours/header.html,200,OK,Thread Group 1-4,text,true,,1007,438,4,4,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1707294405143,102,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-4,text,true,,1025,449,4,4,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,100,0,0
1707294405246,63,-17 /WebTours/home.html,200,OK,Thread Group 1-4,text,true,,1659,486,4,4,http://192.168.2.109:1080/WebTours/home.html,62,0,0
1707294405309,126,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-4,text,true,,1753,490,4,4,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,124,0,0
1707294405637,279,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-5,,true,,6108,2244,5,5,null,0,1,1
1707294405638,5,-8 /WebTours/,200,OK,Thread Group 1-5,text,true,,664,381,5,5,http://192.168.2.109:1080/WebTours/,5,0,1
1707294405643,2,-10 /WebTours/header.html,200,OK,Thread Group 1-5,text,true,,1007,438,5,5,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1707294405645,105,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-5,text,true,,1025,449,5,5,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,102,0,0
1707294405750,58,-17 /WebTours/home.html,200,OK,Thread Group 1-5,text,true,,1659,486,5,5,http://192.168.2.109:1080/WebTours/home.html,58,0,0
1707294405808,109,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-5,text,true,,1753,490,5,5,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,106,0,0
1707294406138,249,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-6,,true,,6111,2244,6,6,null,0,1,1
1707294406138,3,-8 /WebTours/,200,OK,Thread Group 1-6,text,true,,664,381,6,6,http://192.168.2.109:1080/WebTours/,3,0,1
1707294406141,2,-10 /WebTours/header.html,200,OK,Thread Group 1-6,text,true,,1007,438,6,6,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1707294406143,96,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-6,text,true,,1025,449,6,6,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,94,0,0
1707294406239,52,-17 /WebTours/home.html,200,OK,Thread Group 1-6,text,true,,1659,486,6,6,http://192.168.2.109:1080/WebTours/home.html,52,0,0
1707294406292,96,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-6,text,true,,1756,490,6,6,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,94,0,0
1707294406637,251,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-7,,true,,6111,2244,7,7,null,0,0,1
1707294406637,4,-8 /WebTours/,200,OK,Thread Group 1-7,text,true,,664,381,7,7,http://192.168.2.109:1080/WebTours/,4,0,1
1707294406641,2,-10 /WebTours/header.html,200,OK,Thread Group 1-7,text,true,,1007,438,7,7,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1707294406643,94,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-7,text,true,,1025,449,7,7,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,92,0,0
1707294406737,54,-17 /WebTours/home.html,200,OK,Thread Group 1-7,text,true,,1659,486,7,7,http://192.168.2.109:1080/WebTours/home.html,54,0,0
1707294406791,97,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-7,text,true,,1756,490,7,7,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,94,0,0
1707294407138,265,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-8,,true,,6112,2244,8,8,null,0,0,1
1707294407138,3,-8 /WebTours/,200,OK,Thread Group 1-8,text,true,,664,381,8,8,http://192.168.2.109:1080/WebTours/,3,0,1
1707294407141,3,-10 /WebTours/header.html,200,OK,Thread Group 1-8,text,true,,1007,438,8,8,http://192.168.2.109:1080/WebTours/header.html,3,0,0
1707294407144,91,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-8,text,true,,1025,449,8,8,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,88,0,0
1707294407235,63,-17 /WebTours/home.html,200,OK,Thread Group 1-8,text,true,,1659,486,8,8,http://192.168.2.109:1080/WebTours/home.html,63,0,0
1707294407298,105,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-8,text,true,,1757,490,8,8,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,103,0,0
1707294407638,318,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-9,,true,,6112,2244,9,9,null,0,0,1
1707294407638,4,-8 /WebTours/,200,OK,Thread Group 1-9,text,true,,664,381,9,9,http://192.168.2.109:1080/WebTours/,4,0,1
1707294407642,3,-10 /WebTours/header.html,200,OK,Thread Group 1-9,text,true,,1007,438,9,9,http://192.168.2.109:1080/WebTours/header.html,3,0,0
1707294407645,105,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-9,text,true,,1025,449,9,9,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,103,0,0
1707294407750,64,-17 /WebTours/home.html,200,OK,Thread Group 1-9,text,true,,1659,486,9,9,http://192.168.2.109:1080/WebTours/home.html,64,0,0
