timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708328710651,796,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,6112,2244,2,2,null,0,46,10
1708328710691,20,-8 /WebTours/,200,OK,Thread Group 1-1,text,true,,664,381,1,1,http://192.168.2.109:1080/WebTours/,20,0,10
1708328710712,8,-10 /WebTours/header.html,200,OK,Thread Group 1-1,text,true,,1007,438,1,1,http://192.168.2.109:1080/WebTours/header.html,7,0,0
1708328710720,558,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-1,text,true,,1025,449,2,2,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,555,0,0
1708328711280,64,-17 /WebTours/home.html,200,OK,Thread Group 1-1,text,true,,1659,486,2,2,http://192.168.2.109:1080/WebTours/home.html,64,0,0
1708328711345,146,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-1,text,true,,1757,490,2,2,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,143,0,0
1708328711137,359,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,6112,2244,2,2,null,0,4,2
1708328711137,7,-8 /WebTours/,200,OK,Thread Group 1-2,text,true,,664,381,2,2,http://192.168.2.109:1080/WebTours/,7,0,2
1708328711145,2,-10 /WebTours/header.html,200,OK,Thread Group 1-2,text,true,,1007,438,2,2,http://192.168.2.109:1080/WebTours/header.html,2,0,0
1708328711148,160,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-2,text,true,,1025,449,2,2,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,158,0,0
1708328711309,48,-17 /WebTours/home.html,200,OK,Thread Group 1-2,text,true,,1659,486,2,2,http://192.168.2.109:1080/WebTours/home.html,48,0,0
1708328711357,142,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-2,text,true,,1757,490,2,2,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,140,0,0
1708328711636,270,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-3,,true,,6112,2244,3,3,null,0,3,0
1708328711637,4,-8 /WebTours/,200,OK,Thread Group 1-3,text,true,,664,381,3,3,http://192.168.2.109:1080/WebTours/,4,0,0
1708328711641,5,-10 /WebTours/header.html,200,OK,Thread Group 1-3,text,true,,1007,438,3,3,http://192.168.2.109:1080/WebTours/header.html,5,0,0
1708328711646,111,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-3,text,true,,1025,449,3,3,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,109,0,0
1708328711758,51,-17 /WebTours/home.html,200,OK,Thread Group 1-3,text,true,,1659,486,3,3,http://192.168.2.109:1080/WebTours/home.html,51,0,0
1708328711810,99,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-3,text,true,,1757,490,3,3,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,96,0,0
1708328712136,256,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-4,,true,,6103,2244,4,4,null,0,2,1
