timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707298946646,915,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,6108,2244,2,2,null,0,3,1
1707298946647,7,-8 /WebTours/,200,OK,Thread Group 1-1,text,true,,664,381,1,1,http://192.168.2.109:1080/WebTours/,7,0,1
1707298946655,5,-10 /WebTours/header.html,200,OK,Thread Group 1-1,text,true,,1007,438,1,1,http://192.168.2.109:1080/WebTours/header.html,5,0,0
1707298946660,598,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-1,text,true,,1025,449,2,2,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,595,0,0
1707298947260,54,-17 /WebTours/home.html,200,OK,Thread Group 1-1,text,true,,1659,486,2,2,http://192.168.2.109:1080/WebTours/home.html,54,0,0
1707298947314,251,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-1,text,true,,1753,490,2,2,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,248,0,0
1707298947147,627,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,6108,2244,3,3,null,0,0,2
1707298947147,8,-8 /WebTours/,200,OK,Thread Group 1-2,text,true,,664,381,2,2,http://192.168.2.109:1080/WebTours/,8,0,2
1707298947155,7,-10 /WebTours/header.html,200,OK,Thread Group 1-2,text,true,,1007,438,2,2,http://192.168.2.109:1080/WebTours/header.html,7,0,0
1707298947162,250,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-2,text,true,,1025,449,2,2,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,247,0,0
1707298947412,56,-17 /WebTours/home.html,200,OK,Thread Group 1-2,text,true,,1659,486,2,2,http://192.168.2.109:1080/WebTours/home.html,56,0,0
1707298947468,306,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-2,text,true,,1753,490,3,3,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,299,0,0
1707298947644,781,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-3,,true,,6108,2244,4,4,null,0,3,1
1707298947645,6,-8 /WebTours/,200,OK,Thread Group 1-3,text,true,,664,381,3,3,http://192.168.2.109:1080/WebTours/,6,0,1
1707298947652,6,-10 /WebTours/header.html,200,OK,Thread Group 1-3,text,true,,1007,438,3,3,http://192.168.2.109:1080/WebTours/header.html,6,0,0
1707298947658,331,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-3,text,true,,1025,449,3,3,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,327,0,0
1707298947990,59,-17 /WebTours/home.html,200,OK,Thread Group 1-3,text,true,,1659,486,3,3,http://192.168.2.109:1080/WebTours/home.html,59,0,0
1707298948049,379,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-3,text,true,,1753,490,4,4,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,374,0,0
1707298948146,744,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-4,,true,,6110,2244,5,5,null,0,3,1
1707298948147,13,-8 /WebTours/,200,OK,Thread Group 1-4,text,true,,664,381,4,4,http://192.168.2.109:1080/WebTours/,13,0,1
1707298948160,14,-10 /WebTours/header.html,200,OK,Thread Group 1-4,text,true,,1007,438,4,4,http://192.168.2.109:1080/WebTours/header.html,14,0,0
1707298948175,335,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-4,text,true,,1025,449,4,4,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,328,0,0
1707298948510,57,-17 /WebTours/home.html,200,OK,Thread Group 1-4,text,true,,1659,486,4,4,http://192.168.2.109:1080/WebTours/home.html,57,0,0
1707298948568,325,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-4,text,true,,1755,490,5,5,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,320,0,0
1707298948645,718,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-5,,true,,6110,2244,6,6,null,0,1,2
1707298948645,18,-8 /WebTours/,200,OK,Thread Group 1-5,text,true,,664,381,5,5,http://192.168.2.109:1080/WebTours/,18,0,2
1707298948663,11,-10 /WebTours/header.html,200,OK,Thread Group 1-5,text,true,,1007,438,5,5,http://192.168.2.109:1080/WebTours/header.html,11,0,0
1707298948674,290,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-5,text,true,,1025,449,5,5,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,285,0,0
1707298948964,62,-17 /WebTours/home.html,200,OK,Thread Group 1-5,text,true,,1659,486,5,5,http://192.168.2.109:1080/WebTours/home.html,62,0,0
1707298949027,337,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-5,text,true,,1755,490,6,6,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,331,0,0
1707298949146,748,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-6,,true,,6112,2244,7,7,null,0,3,1
1707298949147,8,-8 /WebTours/,200,OK,Thread Group 1-6,text,true,,664,381,6,6,http://192.168.2.109:1080/WebTours/,8,0,1
1707298949155,5,-10 /WebTours/header.html,200,OK,Thread Group 1-6,text,true,,1007,438,6,6,http://192.168.2.109:1080/WebTours/header.html,5,0,0
1707298949161,328,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-6,text,true,,1025,449,6,6,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,324,0,0
1707298949490,59,-17 /WebTours/home.html,200,OK,Thread Group 1-6,text,true,,1659,486,6,6,http://192.168.2.109:1080/WebTours/home.html,59,0,0
1707298949549,348,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-6,text,true,,1757,490,7,7,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,342,0,0
1707298949644,778,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-7,,true,,6112,2244,8,8,null,0,3,1
1707298949645,12,-8 /WebTours/,200,OK,Thread Group 1-7,text,true,,664,381,7,7,http://192.168.2.109:1080/WebTours/,12,0,1
1707298949657,6,-10 /WebTours/header.html,200,OK,Thread Group 1-7,text,true,,1007,438,7,7,http://192.168.2.109:1080/WebTours/header.html,6,0,0
1707298949663,355,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-7,text,true,,1025,449,7,7,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,350,0,0
1707298950019,68,-17 /WebTours/home.html,200,OK,Thread Group 1-7,text,true,,1659,486,7,7,http://192.168.2.109:1080/WebTours/home.html,68,0,0
1707298950088,337,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-7,text,true,,1757,490,8,8,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,333,0,0
1707298950144,720,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-8,,true,,6106,2244,9,9,null,0,2,2
1707298950145,8,-8 /WebTours/,200,OK,Thread Group 1-8,text,true,,664,381,8,8,http://192.168.2.109:1080/WebTours/,8,0,2
1707298950153,8,-10 /WebTours/header.html,200,OK,Thread Group 1-8,text,true,,1007,438,8,8,http://192.168.2.109:1080/WebTours/header.html,8,0,0
1707298950161,316,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-8,text,true,,1025,449,8,8,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,311,0,0
1707298950478,64,-17 /WebTours/home.html,200,OK,Thread Group 1-8,text,true,,1659,486,8,8,http://192.168.2.109:1080/WebTours/home.html,64,0,0
1707298950542,324,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-8,text,true,,1751,490,9,9,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,319,0,0
1707298950644,715,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-9,,true,,6106,2244,10,10,null,0,2,1
1707298950645,7,-8 /WebTours/,200,OK,Thread Group 1-9,text,true,,664,381,9,9,http://192.168.2.109:1080/WebTours/,7,0,1
1707298950652,6,-10 /WebTours/header.html,200,OK,Thread Group 1-9,text,true,,1007,438,9,9,http://192.168.2.109:1080/WebTours/header.html,6,0,0
1707298950658,315,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-9,text,true,,1025,449,9,9,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,310,0,0
1707298950973,56,-17 /WebTours/home.html,200,OK,Thread Group 1-9,text,true,,1659,486,9,9,http://192.168.2.109:1080/WebTours/home.html,56,0,0
1707298951030,331,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-9,text,true,,1751,490,10,10,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,326,0,0
1707298951144,708,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-10,,true,,6112,2244,11,11,null,0,2,1
1707298951145,7,-8 /WebTours/,200,OK,Thread Group 1-10,text,true,,664,381,10,10,http://192.168.2.109:1080/WebTours/,7,0,1
1707298951152,5,-10 /WebTours/header.html,200,OK,Thread Group 1-10,text,true,,1007,438,10,10,http://192.168.2.109:1080/WebTours/header.html,5,0,0
1707298951157,342,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-10,text,true,,1025,449,10,10,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,338,0,0
1707298951499,53,-17 /WebTours/home.html,200,OK,Thread Group 1-10,text,true,,1659,486,10,10,http://192.168.2.109:1080/WebTours/home.html,53,0,0
1707298951552,301,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-10,text,true,,1757,490,11,11,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,296,0,0
1707298951645,727,Homepage,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-11,,true,,6112,2244,12,12,null,0,2,1
1707298951646,8,-8 /WebTours/,200,OK,Thread Group 1-11,text,true,,664,381,11,11,http://192.168.2.109:1080/WebTours/,8,0,1
1707298951655,5,-10 /WebTours/header.html,200,OK,Thread Group 1-11,text,true,,1007,438,11,11,http://192.168.2.109:1080/WebTours/header.html,5,0,0
1707298951660,320,-11 /cgi-bin/welcome.pl,200,OK,Thread Group 1-11,text,true,,1025,449,11,11,http://192.168.2.109:1080/cgi-bin/welcome.pl?signOff=true,316,0,0
1707298951979,59,-17 /WebTours/home.html,200,OK,Thread Group 1-11,text,true,,1659,486,11,11,http://192.168.2.109:1080/WebTours/home.html,59,0,0
1707298952038,335,-18 /cgi-bin/nav.pl,200,OK,Thread Group 1-11,text,true,,1757,490,12,12,http://192.168.2.109:1080/cgi-bin/nav.pl?in=home,329,0,0
