Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Homepage,70,481,310,369,2276,2313,253,2371,0.000%,1.90145,11.34,4.17
EnterDetailsClickLogin,70,547,538,628,651,669,456,724,0.000%,1.70374,6.25,3.14
ClickFlights,70,514,503,603,628,644,374,671,0.000%,1.70213,11.82,3.05
SelectRandomDepatAndArrivalCitiesClkCont,70,155,150,187,196,239,118,258,0.000%,1.71674,4.54,1.60
SelectRandomFlight,70,151,150,177,182,187,117,258,0.000%,1.71838,4.98,1.41
FillPaymentDetailsClkContinue,70,152,144,190,196,273,113,277,0.000%,1.71623,4.76,1.69
ClickItinerary,70,500,488,589,622,652,413,654,0.000%,1.70424,107.04,2.93
LogOff,70,301,293,353,380,412,242,424,0.000%,1.71800,4.66,1.80
TOTAL,560,350,303,560,608,724,113,2371,0.000%,8.32021,94.04,11.78
